experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,s_curve,False,bspline_ls,chord,40,0.04,3,0.022462102270717915,0.05869826274137571,0.10851311420781291,0.00043085683644856983,0.0002440999996906612
noise_robustness,s_curve,False,cubic_spline,chord,40,0.06,3,0.0002581645481338075,0.09780069218141374,0.17470428168770266,0.002017866078794121,0.0025205999991158023
noise_robustness,s_curve,False,bspline_interp,chord,40,0.06,3,0.00025675182781712284,0.09882072072091139,0.17485161215369494,0.002053869891235473,0.001396500003465917
noise_robustness,s_curve,False,poly_ls,chord,40,0.06,3,0.04607922695962798,0.04362196867313644,0.1290338540502161,0.00011267104039198761,0.0007630000000062864
noise_robustness,s_curve,False,bspline_ls,chord,40,0.06,3,0.021208962913079558,0.08351133155762,0.15490874844182242,0.0008861372779734906,0.0006031000011716969
noise_robustness,s_curve,False,cubic_spline,chord,40,0.0,4,1.3698353492637065e-05,0.003202576085730275,0.005647241640127228,9.510627302974132e-05,0.0020105000003241003
noise_robustness,s_curve,False,bspline_interp,chord,40,0.0,4,1.3717858365408387e-05,0.0032724040462801217,0.005647241639960497,9.5316149442069e-05,0.0010346000017307233
noise_robustness,s_curve,False,poly_ls,chord,40,0.0,4,0.023324374715929276,0.05658888389394437,0.1477409356462866,0.0002264868740253247,0.0005807999987155199
noise_robustness,s_curve,False,bspline_ls,chord,40,0.0,4,0.01891205942664087,0.043068380193972175,0.0664481875184496,0.00014574903030371524,0.0003522000006341841
noise_robustness,s_curve,False,cubic_spline,chord,40,0.01,4,0.0001920148055687875,0.03181753622630896,0.0716604558199335,0.0009012360054894682,0.002442400000290945
noise_robustness,s_curve,False,bspline_interp,chord,40,0.01,4,0.0001913902648957317,0.04477274937228325,0.11185639167522447,0.0009319068605808952,0.001100199999200413
noise_robustness,s_curve,False,poly_ls,chord,40,0.01,4,0.020437571089471706,0.04980949973267988,0.09553504369308952,0.00020408455758668607,0.0008617999992566183
noise_robustness,s_curve,False,bspline_ls,chord,40,0.01,4,0.017904093640511674,0.03779337381986546,0.05236620474604659,0.00011745559951404513,0.0003552999987732619
noise_robustness,s_curve,False,cubic_spline,chord,40,0.02,4,0.00011358889683066443,0.04330363991171911,0.07792294550711397,0.0011579633356111295,0.0026194999991275836
noise_robustness,s_curve,False,bspline_interp,chord,40,0.02,4,0.00011251899910069002,0.05588429853063377,0.12322659610488224,0.001193469406451901,0.001009299998258939
noise_robustness,s_curve,False,poly_ls,chord,40,0.02,4,0.021218814953497582,0.04462880843343983,0.0879805934225331,0.0001803049915032772,0.0009611999994376674
