experiment,shape,closed,method,parameterization,n_points,noise_sigma,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
node_count,s_curve,False,bspline_ls,chord,48,0.0,0.017278240862849695,0.031663114446732143,0.049666266478345676,0.00012319789460958419,0.00020290000247769058
node_count,s_curve,False,cubic_spline,chord,72,0.0,1.0358302016467257e-05,0.0029560182610720966,0.004730899919399672,9.416659883561837e-05,0.0010145000014745165
node_count,s_curve,False,bspline_interp,chord,72,0.0,1.035833872282577e-05,0.0029560182892177066,0.004730899919399564,9.416477032533442e-05,0.0005062000018369872
node_count,s_curve,False,poly_ls,chord,72,0.0,0.030030998369421875,0.057487553369654845,0.08679142190332728,0.00015616718551288714,0.0003493000003800262
node_count,s_curve,False,bspline_ls,chord,72,0.0,0.018230725875979688,0.03567583680820901,0.0559885553561316,0.00011991670966310177,0.00021390000256360509
node_count,s_curve,False,cubic_spline,chord,100,0.0,1.0609463125906915e-05,0.0029748792808611015,0.004922670530737517,9.422504817150114e-05,0.0011180000001331791
node_count,s_curve,False,bspline_interp,chord,100,0.0,1.060961615464255e-05,0.00297489415098824,0.004922670530737604,9.422024122633565e-05,0.0006787000020267442
node_count,s_curve,False,poly_ls,chord,100,0.0,0.027917918156972452,0.055111061276301845,0.06820866378499889,0.0001689770927970984,0.00031230000240611844
node_count,s_curve,False,bspline_ls,chord,100,0.0,0.017499850768832592,0.03301499795323663,0.046313977461355606,0.00013099241277424935,0.0002294000005349517
node_count,wavy_circle,True,cubic_spline,chord,12,0.0,3.201138123422351e-05,0.20535491115356164,0.46992029970980054,0.0002694754172473927,0.0011231999997107778
node_count,wavy_circle,True,bspline_interp,chord,12,0.0,3.051971674864104e-05,0.20537568392396816,0.47431047699541684,0.0002633590839069004,0.0002505000011296943
node_count,wavy_circle,True,poly_ls,chord,12,0.0,0.11965465246354924,0.39484304783415525,0.6403250741644763,0.0008992122164122819,0.0004535000007308554
node_count,wavy_circle,True,bspline_ls,chord,12,0.0,0.018701569755137766,0.22533591433842498,0.4738967143534001,0.00024221426629464986,0.00013939999917056412
node_count,wavy_circle,True,cubic_spline,chord,20,0.0,5.1507448459602556e-05,0.18913202787390604,0.4673570579781799,0.00038359722223975254,0.0009539000020595267
node_count,wavy_circle,True,bspline_interp,chord,20,0.0,5.207418581210204e-05,0.20722079438319851,0.5516940573550145,0.0003814062919176596,0.0002333999982511159
node_count,wavy_circle,True,poly_ls,chord,20,0.0,0.05561411933582453,0.29061439444190607,0.6180628768875017,0.0003339226546403642,0.00025549999918439426
node_count,wavy_circle,True,bspline_ls,chord,20,0.0,0.021197832532826043,0.24396853883916947,0.5354912331917521,0.00028692928848054696,0.00016449999748147093
node_count,wavy_circle,True,cubic_spline,chord,32,0.0,5.55188928498602e-05,0.044191756544486795,0.1507457497108698,0.0006791995458870066,0.0009006000000226777
node_count,wavy_circle,True,bspline_interp,chord,32,0.0,5.55206825782248e-05,0.04419348227746281,0.15074565112104693,0.0006791505824067237,0.0003023999997822102
node_count,wavy_circle,True,poly_ls,chord,32,0.0,0.09478556429997773,0.2281822469035371,0.37653827115760496,0.00039960515428943635,0.0003237000018998515
node_count,wavy_circle,True,bspline_ls,chord,32,0.0,0.02013212987441878,0.11895322693467009,0.31104155367532565,0.0005539548888450783,0.00024850000045262277
node_count,wavy_circle,True,cubic_spline,chord,48,0.0,7.511847886110399e-05,0.02119535739630408,0.12094014991731186,0.0007660666739733165,0.0010094999997818377
node_count,wavy_circle,True,bspline_interp,chord,48,0.0,7.512958039130134e-05,0.021227721105510085,0.12094001217620715,0.0007662180695146093,0.0005120000023453031
node_count,wavy_circle,True,poly_ls,chord,48,0.0,0.10464867900552403,0.21494925677695478,0.3177313079283977,0.000495292219363418,0.0003084999989368953
node_count,wavy_circle,True,bspline_ls,chord,48,0.0,0.020227511276662533,0.06639252260249025,0.19289882779899276,0.0006126111878233383,0.00023239999791258015
node_count,wavy_circle,True,cubic_spline,chord,72,0.0,6.846756076795833e-05,0.008973985350237553,0.03194490149528691,0.0008614405835016596,0.0013300999999046326
