t,model,s,i,r,R0,beta,gamma
0.10136986301369863,basic_sir,3.6540531090814205e-07,0.010041652191046734,0.9899579824036424,15.0,780.0,52.0
0.10410958904109589,basic_sir,3.58169665810525e-07,0.008708301042085724,0.9912913407882485,15.0,780.0,52.0
0.10684931506849316,basic_sir,3.5201089083812887e-07,0.007551994882322128,0.9924476531067871,15.0,780.0,52.0
0.1095890410958904,basic_sir,3.467556982622513e-07,0.006549225357853992,0.9934504278864478,15.0,780.0,52.0
0.11232876712328767,basic_sir,3.422618638293672e-07,0.005679605589053849,0.9943200521490824,15.0,780.0,52.0
0.11506849315068493,basic_sir,3.384119096699927e-07,0.004925455698596859,0.9950742058894936,15.0,780.0,52.0
0.1178082191780822,basic_sir,3.3510824074857543e-07,0.004271443372854286,0.995728221518905,15.0,780.0,52.0
0.12054794520547946,basic_sir,3.322693632754027e-07,0.0037042721495174832,0.9962953955811193,15.0,780.0,52.0
0.12328767123287672,basic_sir,3.2982691684320157e-07,0.0032124110944827555,0.9967872590786006,15.0,780.0,52.0
0.12602739726027398,basic_sir,3.2772332461486425e-07,0.002785860372400226,0.9972138119042753,15.0,780.0,52.0
0.12876712328767123,basic_sir,3.2590991739378493e-07,0.002415947944962298,0.9975837261451205,15.0,780.0,52.0
0.1315068493150685,basic_sir,3.243454243401757e-07,0.00209515326380541,0.9979045223907703,15.0,780.0,52.0
0.13424657534246576,basic_sir,3.2299474983538834e-07,0.001816954373681746,0.9981827226315685,15.0,780.0,52.0
0.136986301369863,basic_sir,3.218279755332706e-07,0.0015756953174781818,0.9984239828545464,15.0,780.0,52.0
0.13972602739726028,basic_sir,3.2081954103808807e-07,0.0013664711473913133,0.9986332080330678,15.0,780.0,52.0
0.14246575342465753,basic_sir,3.1994756735254334e-07,0.0011850282044985829,0.9988146518479342,15.0,780.0,52.0
0.1452054794520548,basic_sir,3.191932952605567e-07,0.0010276776393722052,0.9989720031673326,15.0,780.0,52.0
0.14794520547945206,basic_sir,3.1854061686760135e-07,0.0008912204155745178,0.9991084610438087,15.0,780.0,52.0
0.1506849315068493,basic_sir,3.179756831320883e-07,0.0007728822713224406,0.9992267997529944,15.0,780.0,52.0
0.15342465753424658,basic_sir,3.1748657375675594e-07,0.0006702573170609881,0.9993294251963654,15.0,780.0,52.0
0.15616438356164383,basic_sir,3.170630185399592e-07,0.0005812591222564644,0.9994184238147251,15.0,780.0,52.0
0.1589041095890411,basic_sir,3.166961614114903e-07,0.0005040782969785398,0.9994956050068602,15.0,780.0,52.0
0.16164383561643836,basic_sir,3.1637836004239867e-07,0.0004371457058821182,0.999562537915758,15.0,780.0,52.0
0.1643835616438356,basic_sir,3.1610301523182504e-07,0.00037910056670900074,0.9996205833302759,15.0,780.0,52.0
0.16712328767123288,basic_sir,3.158644253173076e-07,0.00032876278473396647,0.9996709213508409,15.0,780.0,52.0
0.16986301369863013,basic_sir,3.1565766168938725e-07,0.00028510896069869026,0.9997145753816398,15.0,780.0,52.0
0.1726027397260274,basic_sir,3.154784621628207e-07,0.00024725158446081127,0.9997524329370772,15.0,780.0,52.0
0.17534246575342466,basic_sir,3.1532313950045295e-07,0.00021442099135275883,0.9997852636855078,15.0,780.0,52.0
0.1780821917808219,basic_sir,3.1518850282872504e-07,0.00018594971441231322,0.9998137350970849,15.0,780.0,52.0
0.18082191780821918,basic_sir,3.150717900466328e-07,0.0001612589143563134,0.9998384260138538,15.0,780.0,52.0
0.18356164383561643,basic_sir,3.1497060962878586e-07,0.0001398466114106111,0.9998598384179799,15.0,780.0,52.0
0.1863013698630137,basic_sir,3.1488289047056584e-07,0.00012127747974215552,0.9998784076373675,15.0,780.0,52.0
0.18904109589041096,basic_sir,3.1480683862909043e-07,0.00010517399700772125,0.9998945111961537,15.0,780.0,52.0
0.1917808219178082,basic_sir,3.147408999855014e-07,9.120876908410751e-05,0.9999084764900159,15.0,780.0,52.0
0.19452054794520549,basic_sir,3.146837279981818e-07,7.909787393679491e-05,0.9999205874423351,15.0,780.0,52.0
0.19726027397260273,basic_sir,3.146341558377812e-07,6.859508930374196e-05,0.9999310902765404,15.0,780.0,52.0
0.2,basic_sir,3.145911722973453e-07,5.9486886839507984e-05,0.9999401985219881,15.0,780.0,52.0
0.20273972602739726,basic_sir,3.145539009576026e-07,5.1588090947502535e-05,0.9999480973551514,15.0,780.0,52.0
0.2054794520547945,basic_sir,3.145215821611503e-07,4.4738114041676965e-05,0.9999549473643761,15.0,780.0,52.0
0.20821917808219179,basic_sir,3.144935574120275e-07,3.87976916981487e-05,0.9999608878147443,15.0,780.0,52.0
0.21095890410958903,basic_sir,3.144692558707085e-07,3.364605132031976e-05,0.9999660394794236,15.0,780.0,52.0
0.2136986301369863,basic_sir,3.1444818266033125e-07,2.917845675465315e-05,0.9999705070950625,15.0,780.0,52.0
0.21643835616438356,basic_sir,3.1442990873918953e-07,2.5304078937585733e-05,0.9999743814911536,15.0,780.0,52.0
0.2191780821917808,basic_sir,3.1441406212815575e-07,2.194414928247212e-05,0.9999777414366553,15.0,780.0,52.0
0.2219178082191781,basic_sir,3.1440032031059767e-07,1.9030358263740346e-05,0.9999806552414159,15.0,780.0,52.0
0.22465753424657534,basic_sir,3.14388403647204e-07,1.6503466640452984e-05,0.9999831821449559,15.0,780.0,52.0
0.2273972602739726,basic_sir,3.143780696695287e-07,1.4312101084561902e-05,0.9999853735208458,15.0,780.0,52.0
0.23013698630136986,basic_sir,3.1436910813450404e-07,1.2411709728210166e-05,0.9999872739211637,15.0,780.0,52.0
0.23287671232876714,basic_sir,3.1436133673807083e-07,1.0763656395689339e-05,0.9999889219822676,15.0,780.0,52.0
0.2356164383561644,basic_sir,3.143545973998015e-07,9.33443510520915e-06,0.9999903512102974,15.0,780.0,52.0
0.23835616438356164,basic_sir,3.1434875304224146e-07,8.094988870797302e-06,0.9999915906623762,15.0,780.0,52.0
0.2410958904109589,basic_sir,3.143436847989362e-07,7.020118955136391e-06,0.9999926655373601,15.0,780.0,52.0
0.24383561643835616,basic_sir,3.143392895939646e-07,6.087972563069614e-06,0.9999935976881473,15.0,780.0,52.0
0.24657534246575344,basic_sir,3.143354780434549e-07,5.279598560255993e-06,0.9999944060659617,15.0,780.0,52.0
0.2493150684931507,basic_sir,3.1433217263618413e-07,4.57856218445097e-06,0.9999951071056429,15.0,780.0,52.0
0.25205479452054796,basic_sir,3.1432930615609394e-07,3.970610916245487e-06,0.9999957150597776,15.0,780.0,52.0
0.2547945205479452,basic_sir,3.143268203145181e-07,3.4433847162017645e-06,0.9999962422884634,15.0,780.0,52.0
