t,model,s,i,r,R0,beta0,gamma,mu
35.728767123287675,demographic_sir_R0_comparison,0.5201050814517277,2.1844162970781543e-202,0.47989491854827515,2.0,104.02857142857142,52.0,0.014285714285714285
35.74794520547945,demographic_sir_R0_comparison,0.5202365415025553,2.2741146421713817e-202,0.4797634584974473,2.0,104.02857142857142,52.0,0.014285714285714285
35.76712328767123,demographic_sir_R0_comparison,0.5203679655418638,2.368117180271476e-202,0.4796320344581384,2.0,104.02857142857142,52.0,0.014285714285714285
35.78630136986301,demographic_sir_R0_comparison,0.5204993535795187,2.466651979045559e-202,0.47950064642048373,2.0,104.02857142857142,52.0,0.014285714285714285
35.8054794520548,demographic_sir_R0_comparison,0.5206307056253813,2.5699601827323685e-202,0.47936929437462106,2.0,104.02857142857142,52.0,0.014285714285714285
35.824657534246576,demographic_sir_R0_comparison,0.5207620216893113,2.6782968123711165e-202,0.4792379783106911,2.0,104.02857142857142,52.0,0.014285714285714285
35.843835616438355,demographic_sir_R0_comparison,0.5208933017811654,2.791931617825831e-202,0.47910669821883706,2.0,104.02857142857142,52.0,0.014285714285714285
35.863013698630134,demographic_sir_R0_comparison,0.5210245459107976,2.91114998512626e-202,0.47897545408920483,2.0,104.02857142857142,52.0,0.014285714285714285
35.88219178082192,demographic_sir_R0_comparison,0.5211557540880591,3.0362539028981056e-202,0.4788442459119432,2.0,104.02857142857142,52.0,0.014285714285714285
35.9013698630137,demographic_sir_R0_comparison,0.521286926322799,3.1675629919229833e-202,0.47871307367720356,2.0,104.02857142857142,52.0,0.014285714285714285
35.92054794520548,demographic_sir_R0_comparison,0.5214180626248628,3.305415602158453e-202,0.47858193737514,2.0,104.02857142857142,52.0,0.014285714285714285
35.93972602739726,demographic_sir_R0_comparison,0.5215491630040935,3.450169981857073e-202,0.4784508369959091,2.0,104.02857142857142,52.0,0.014285714285714285
35.95890410958904,demographic_sir_R0_comparison,0.5216802274703318,3.6022055237579085e-202,0.4783197725296707,2.0,104.02857142857142,52.0,0.014285714285714285
35.97808219178082,demographic_sir_R0_comparison,0.5218112560334157,3.761924093682328e-202,0.4781887439665868,2.0,104.02857142857142,52.0,0.014285714285714285
35.9972602739726,demographic_sir_R0_comparison,0.5219422487031805,3.9297514472493686e-202,0.4780577512968222,2.0,104.02857142857142,52.0,0.014285714285714285
36.016438356164386,demographic_sir_R0_comparison,0.5220732054894583,4.106138740841797e-202,0.4779267945105443,2.0,104.02857142857142,52.0,0.014285714285714285
36.035616438356165,demographic_sir_R0_comparison,0.5222041264020789,4.291564143397509e-202,0.4777958735979239,2.0,104.02857142857142,52.0,0.014285714285714285
36.054794520547944,demographic_sir_R0_comparison,0.5223350114508694,4.486534556081413e-202,0.4776649885491334,2.0,104.02857142857142,52.0,0.014285714285714285
36.07397260273973,demographic_sir_R0_comparison,0.522465860645654,4.691587447405589e-202,0.4775341393543487,2.0,104.02857142857142,52.0,0.014285714285714285
36.09315068493151,demographic_sir_R0_comparison,0.5225966739962548,4.907292811921252e-202,0.477403326003748,2.0,104.02857142857142,52.0,0.014285714285714285
36.11232876712329,demographic_sir_R0_comparison,0.5227274515124902,5.134255261202476e-202,0.4772725484875125,2.0,104.02857142857142,52.0,0.014285714285714285
36.131506849315066,demographic_sir_R0_comparison,0.5228581932041769,5.37311625648103e-202,0.47714180679582563,2.0,104.02857142857142,52.0,0.014285714285714285
36.15068493150685,demographic_sir_R0_comparison,0.5229888990811284,5.624556492984988e-202,0.4770111009188741,2.0,104.02857142857142,52.0,0.014285714285714285
36.16986301369863,demographic_sir_R0_comparison,0.5231195691531555,5.889298446775181e-202,0.4768804308468469,2.0,104.02857142857142,52.0,0.014285714285714285
36.18904109589041,demographic_sir_R0_comparison,0.5232502034300668,6.168109095676704e-202,0.47674979656993577,2.0,104.02857142857142,52.0,0.014285714285714285
36.20821917808219,demographic_sir_R0_comparison,0.5233808019216675,6.461802826761904e-202,0.4766191980783351,2.0,104.02857142857142,52.0,0.014285714285714285
36.227397260273975,demographic_sir_R0_comparison,0.5235113646377606,6.771244543773455e-202,0.476488635362242,2.0,104.02857142857142,52.0,0.014285714285714285
36.24657534246575,demographic_sir_R0_comparison,0.5236418915881459,7.09735298887454e-202,0.47635810841185655,2.0,104.02857142857142,52.0,0.014285714285714285
36.26575342465753,demographic_sir_R0_comparison,0.5237723827826213,7.441104294194672e-202,0.47622761721738105,2.0,104.02857142857142,52.0,0.014285714285714285
36.28493150684932,demographic_sir_R0_comparison,0.5239028382309815,7.8035357797983925e-202,0.47609716176902067,2.0,104.02857142857142,52.0,0.014285714285714285
36.3041095890411,demographic_sir_R0_comparison,0.5240332579430186,8.185750015960299e-202,0.47596674205698364,2.0,104.02857142857142,52.0,0.014285714285714285
36.323287671232876,demographic_sir_R0_comparison,0.5241636419285219,8.588919168981643e-202,0.4758363580714802,2.0,104.02857142857142,52.0,0.014285714285714285
36.342465753424655,demographic_sir_R0_comparison,0.5242939901972783,9.014289651236947e-202,0.47570600980272376,2.0,104.02857142857142,52.0,0.014285714285714285
36.36164383561644,demographic_sir_R0_comparison,0.5244243027590719,9.463187097715599e-202,0.47557569724093024,2.0,104.02857142857142,52.0,0.014285714285714285
36.38082191780822,demographic_sir_R0_comparison,0.5245545796236842,9.93702169301493e-202,0.47544542037631815,2.0,104.02857142857142,52.0,0.014285714285714285
36.4,demographic_sir_R0_comparison,0.5246848208008937,1.0437293874575341e-201,0.4753151791991089,2.0,104.02857142857142,52.0,0.014285714285714285
36.419178082191785,demographic_sir_R0_comparison,0.5248150263004763,1.0965600439916418e-201,0.4751849736995262,2.0,104.02857142857142,52.0,0.014285714285714285
36.43835616438356,demographic_sir_R0_comparison,0.5249451961322054,1.152364108776881e-201,0.47505480386779697,2.0,104.02857142857142,52.0,0.014285714285714285
36.45753424657534,demographic_sir_R0_comparison,0.5250753303058521,1.2113225425297734e-201,0.4749246696941503,2.0,104.02857142857142,52.0,0.014285714285714285
36.47671232876712,demographic_sir_R0_comparison,0.5252054288311838,1.2736280476092755e-201,0.47479457116881857,2.0,104.02857142857142,52.0,0.014285714285714285
36.49589041095891,demographic_sir_R0_comparison,0.5253354917179662,1.3394858726288134e-201,0.474664508282036,2.0,104.02857142857142,52.0,0.014285714285714285
36.515068493150686,demographic_sir_R0_comparison,0.5254655189759619,1.4091146749070534e-201,0.4745344810240402,2.0,104.02857142857142,52.0,0.014285714285714285
36.534246575342465,demographic_sir_R0_comparison,0.5255955106149309,1.4827474450968193e-201,0.47440448938507135,2.0,104.02857142857142,52.0,0.014285714285714285
36.553424657534244,demographic_sir_R0_comparison,0.5257254666446306,1.5606324986690364e-201,0.47427453335537184,2.0,104.02857142857142,52.0,0.014285714285714285
