alpha,pattern,regime_label,rule_reason,poincare_level_count,poincare_range,long_i_min,long_i_max,long_i_mean,long_i_range,relative_amplitude,n_peaks,mean_peak_interval,peak_height_cv,peak_interval_cv
0.5066666666666667,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,5,0.027297212588984567,5.470515062571525e-42,0.030247253009721458,0.0002714780697963433,0.030247253009721458,111.4169296710127,8,7.985127201565558,0.05968167060949489,0.018377522651344187
0.52,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,5,0.031177829298698147,3.3125038432516804e-43,0.031431403579372956,0.0002653480939106858,0.031431403579372956,118.45347413708022,8,7.7048923679060675,0.1721678050329171,0.1156000434650694
0.5333333333333333,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,6,0.004752038147841998,1.867516671928361e-42,0.030898009202987114,0.00026236037251922727,0.030898009202987114,117.76934491401795,8,7.681409001956948,0.11624197351399969,0.07174817736023975
0.5466666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,6,0.03238929984664489,3.548966544010408e-44,0.03238929984664489,0.00024416013195481,0.03238929984664489,132.65597289503273,10,5.661796042617961,0.6127162967402265,0.5212090055123961
0.56,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,7,0.006544602701543443,3.541774755025403e-42,0.03153050112973438,0.00026076456533563386,0.03153050112973438,120.91558946726911,10,6.205479452054795,0.5223134836534783,0.4259942318578608
0.5733333333333334,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,5,0.005214003563587601,8.301191705225773e-43,0.032014144803557174,0.00024398300051627973,0.032014144803557174,131.21465321687867,11,4.977808219178082,0.6694950394714237,0.5995856301802477
0.5866666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,7,0.026420772456573725,6.669051352289797e-45,0.03286772889412601,0.00025642900466603977,0.03286772889412601,128.17477077888003,12,4.784059775840597,0.6932116114788996,0.7053786845043586
0.6000000000000001,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,4,0.029504684354588646,1.3898671773214376e-45,0.03292715523251748,0.00023054354574651953,0.03292715523251748,142.82401672055732,9,5.736986301369862,0.5930797207590002,0.5963847294728399
0.6133333333333334,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,5,0.031971836468213284,2.851574485165084e-46,0.034402764455945894,0.00026831440456693325,0.034402764455945894,128.21810484410219,8,7.86614481409002,0.23790712928906085,0.1815771729606117
0.6266666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,4,0.03138193300977734,1.827463198649582e-46,0.03387054525363227,0.0002507171530479253,0.03387054525363227,135.09464686350285,12,4.891656288916564,0.7572340093146666,0.6057423531773986
0.64,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",5,0.01385296250895272,3.1078602781713255e-46,0.034645219250040486,0.00028716501603249676,0.034645219250040486,120.64568215412386,9,7.364726027397261,0.37019092888985533,0.37597339899408777
0.6533333333333333,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,6,0.015256608923651013,6.445397901081994e-47,0.03440679387981219,0.0002622704646699107,0.03440679387981219,131.18821413275037,8,7.2590998043052855,0.38865541064558556,0.4070340780457868
0.6666666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,5,0.01623176223559108,1.0605699088688831e-47,0.036818092626246926,0.0002465237794827726,0.036818092626246926,149.34905145253876,10,5.450532724505328,0.6436575901887586,0.5568574040108845
0.68,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,3,0.02363748402155201,2.773857895275691e-49,0.03959630875489762,0.00026904694552912976,0.03959630875489762,147.1724894591324,7,9.0,0.0008132932056304604,0.0
0.6933333333333334,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,2,0.0384637837449505,1.1762692927017192e-49,0.04025013897300701,0.0002691064235911292,0.04025013897300701,149.56959568591216,7,8.999999999999998,3.1668495892257645e-06,3.302681689748001e-16
0.7066666666666667,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,2,0.03896181244523815,6.645908601734451e-50,0.04068993644879094,0.0002691364260153565,0.04068993644879094,151.18702827119074,7,9.0,7.202506620223422e-07,0.0
0.7200000000000001,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,2,0.02898303674414128,4.133560340023804e-50,0.041012682421908794,0.00026916066613977475,0.041012682421908794,152.37249561795545,7,9.0,4.153911560625993e-06,0.0
0.7333333333333334,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,2,0.017695416866835484,2.709148945741498e-50,0.04129169641561914,0.000269181481025888,0.04129169641561914,153.39724062090283,7,9.000000000000002,7.5316915936060586e-06,6.486338074120658e-16
0.7466666666666667,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,2,0.009906651866712617,1.8356303813321046e-50,0.04155192728554358,0.0002692000201747697,0.04155192728554358,154.35335873514157,7,9.0,5.076968033903833e-06,0.0
0.76,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,3,0.005583509074407142,1.259350899324908e-50,0.04178959869872253,0.00026921750416288747,0.04178959869872253,155.22615748431474,7,9.0,0.00015388901898615191,0.0
0.7733333333333334,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,6,0.003375309537822894,8.539874167469633e-51,0.042005166328308745,0.0002692354495510907,0.042005166328308745,156.01647702167747,7,9.0,0.0004557123209321666,0.0
0.7866666666666667,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,8,0.0022896625267249133,5.574127578568012e-51,0.042225897206331464,0.00026925568270582187,0.042225897206331464,156.82453488814872,7,9.000456621004567,0.0008363632850556767,0.00022914291087509727
0.8,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,8,0.0017934066595567421,3.426624443160585e-51,0.04242693558325249,0.00026928038103825775,0.04242693558325249,157.55672737712266,7,9.000913242009133,0.0018648311398530978,0.0005985341397632916
