t,s,i,r,N,I0,alpha,phase,R0_basic
0.9095890410958904,0.012261009477401537,6.653023614417808e-20,0.9877389905225974,10000,20,0.0,0.0,8.0
0.910958904109589,0.012280338818415637,6.238960101254372e-20,0.9877196611815833,10000,20,0.0,0.0,8.0
0.9123287671232877,0.01229966778116845,5.850731077223847e-20,0.9877003322188305,10000,20,0.0,0.0,8.0
0.9136986301369863,0.012318996365667374,5.486720660883847e-20,0.9876810036343315,10000,20,0.0,0.0,8.0
0.915068493150685,0.012338324571919815,5.1454142890304824e-20,0.9876616754280791,10000,20,0.0,0.0,8.0
0.9164383561643835,0.012357652399933172,4.825392348358476e-20,0.9876423476000658,10000,20,0.0,0.0,8.0
0.9178082191780822,0.012376979849714849,4.5253242083730357e-20,0.987623020150284,10000,20,0.0,0.0,8.0
0.9191780821917809,0.012396306921272247,4.2439626302116196e-20,0.9876036930787266,10000,20,0.0,0.0,8.0
0.9205479452054794,0.012415633614612766,3.9801385276366284e-20,0.9875843663853862,10000,20,0.0,0.0,8.0
0.9219178082191781,0.01243495992974381,3.732756057963681e-20,0.9875650400702551,10000,20,0.0,0.0,8.0
0.9232876712328767,0.012454285866672778,3.500788022097289e-20,0.9875457141333261,10000,20,0.0,0.0,8.0
0.9246575342465754,0.012473611425407073,3.28327155416307e-20,0.9875263885745919,10000,20,0.0,0.0,8.0
0.9260273972602739,0.012492936605954094,3.0793040824611863e-20,0.9875070633940448,10000,20,0.0,0.0,8.0
0.9273972602739726,0.012512261408321243,2.8880395446205876e-20,0.9874877385916777,10000,20,0.0,0.0,8.0
0.9287671232876712,0.01253158583251592,2.7086848409176238e-20,0.987468414167483,10000,20,0.0,0.0,8.0
0.9301369863013699,0.012550909878545529,2.540496510735663e-20,0.9874490901214534,10000,20,0.0,0.0,8.0
0.9315068493150686,0.012570233546417467,2.3827776180932437e-20,0.9874297664535815,10000,20,0.0,0.0,8.0
0.9328767123287671,0.012589556836139134,2.234874833057094e-20,0.9874104431638598,10000,20,0.0,0.0,8.0
0.9342465753424658,0.012608879747717933,2.0961756966901974e-20,0.987391120252281,10000,20,0.0,0.0,8.0
0.9356164383561644,0.012628202281161259,1.966106057965517e-20,0.9873717977188378,10000,20,0.0,0.0,8.0
0.936986301369863,0.012647524436476517,1.844127671806658e-20,0.9873524755635225,10000,20,0.0,0.0,8.0
0.9383561643835616,0.012666846213671102,1.7297359481021358e-20,0.9873331537863279,10000,20,0.0,0.0,8.0
0.9397260273972603,0.01268616761275242,1.6224578421806148e-20,0.9873138323872466,10000,20,0.0,0.0,8.0
0.9410958904109589,0.012705488633727864,1.521849877835919e-20,0.9872945113662711,10000,20,0.0,0.0,8.0
0.9424657534246575,0.012724809276604838,1.4274962945527384e-20,0.9872751907233941,10000,20,0.0,0.0,8.0
0.9438356164383561,0.012744129541390738,1.3390073111116543e-20,0.9872558704586082,10000,20,0.0,0.0,8.0
0.9452054794520548,0.012763449428092965,1.2560174982453232e-20,0.987236550571906,10000,20,0.0,0.0,8.0
0.9465753424657535,0.012782768936718918,1.1781842534806815e-20,0.98721723106328,10000,20,0.0,0.0,8.0
0.947945205479452,0.012802088067275992,1.105186371734855e-20,0.9871979119327229,10000,20,0.0,0.0,8.0
0.9493150684931507,0.012821406819771588,1.0367227056385753e-20,0.9871785931802273,10000,20,0.0,0.0,8.0
0.9506849315068493,0.012840725194213103,9.72510909941051e-21,0.9871592748057858,10000,20,0.0,0.0,8.0
0.952054794520548,0.012860043190607939,9.122862647061878e-21,0.9871399568093909,10000,20,0.0,0.0,8.0
0.9534246575342465,0.01287936080896349,8.558005723439821e-21,0.9871206391910354,10000,20,0.0,0.0,8.0
0.9547945205479452,0.012898678049287156,8.028211238331028e-21,0.9871013219507118,10000,20,0.0,0.0,8.0
0.9561643835616438,0.012917994911586335,7.531297297837772e-21,0.9870820050884126,10000,20,0.0,0.0,8.0
0.9575342465753425,0.012937311395868425,7.065218122640607e-21,0.9870626886041305,10000,20,0.0,0.0,8.0
0.9589041095890412,0.012956627502140822,6.628055535697975e-21,0.9870433724978581,10000,20,0.0,0.0,8.0
0.9602739726027397,0.012975943230410923,6.218010983590461e-21,0.987024056769588,10000,20,0.0,0.0,8.0
0.9616438356164384,0.012995258580686129,5.833398057973992e-21,0.9870047414193128,10000,20,0.0,0.0,8.0
0.963013698630137,0.013014573552973831,5.472635485718726e-21,0.9869854264470251,10000,20,0.0,0.0,8.0
0.9643835616438357,0.013033888147281432,5.134240558288506e-21,0.9869661118527175,10000,20,0.0,0.0,8.0
0.9657534246575342,0.013053202363616324,4.816822972771781e-21,0.9869467976363826,10000,20,0.0,0.0,8.0
0.9671232876712329,0.013072516201985908,4.519079058710197e-21,0.986927483798013,10000,20,0.0,0.0,8.0
0.9684931506849315,0.013091829662397577,4.239786366500424e-21,0.9869081703376014,10000,20,0.0,0.0,8.0
0.9698630136986301,0.01311114274485873,3.977798594667965e-21,0.9868888572551402,10000,20,0.0,0.0,8.0
0.9712328767123288,0.01313045544937676,3.732040834741873e-21,0.9868695445506221,10000,20,0.0,0.0,8.0
0.9726027397260274,0.013149767775959066,3.5015051137964974e-21,0.9868502322240399,10000,20,0.0,0.0,8.0
0.9739726027397261,0.013169079724613043,3.2852462159813043e-21,0.9868309202753859,10000,20,0.0,0.0,8.0
0.9753424657534246,0.013188391295346087,3.082377765534712e-21,0.9868116087046528,10000,20,0.0,0.0,8.0
0.9767123287671233,0.013207702488165593,2.8920685548781832e-21,0.9867922975118333,10000,20,0.0,0.0,8.0
0.9780821917808219,0.013227013303078955,2.7135391024193115e-21,0.9867729866969199,10000,20,0.0,0.0,8.0
0.9794520547945206,0.013246323740093572,2.5460584256580406e-21,0.9867536762599053,10000,20,0.0,0.0,8.0
0.9808219178082191,0.013265633799216837,2.3889410160967523e-21,0.986734366200782,10000,20,0.0,0.0,8.0
0.9821917808219178,0.013284943480456148,2.241544003302501e-21,0.9867150565195427,10000,20,0.0,0.0,8.0
0.9835616438356164,0.013304252783818894,2.103264496265614e-21,0.98669574721618,10000,20,0.0,0.0,8.0
0.9849315068493151,0.013323561709312474,1.9735370909429973e-21,0.9866764382906864,10000,20,0.0,0.0,8.0
0.9863013698630138,0.013342870256944283,1.8518315335733017e-21,0.9866571297430546,10000,20,0.0,0.0,8.0
