alpha,sample_index,t_sample,i_sample
0.32,1,61.0,1.8871926128613094e-21
0.32,2,62.0,1.054252824593657e-14
0.32,3,63.0,0.0013755609200230053
0.32,4,64.0,1.0145090123978604e-14
0.32,5,65.0,1.0031071823844143e-23
0.32,6,66.0,4.073334265180327e-28
0.32,7,67.0,5.842872797184684e-28
0.32,8,68.0,2.5519070017523726e-23
0.32,9,69.0,2.931325053594349e-14
0.32,10,70.0,0.014954281727569416
0.32,11,71.0,9.631733591691417e-17
0.32,12,72.0,2.0778522751817792e-26
0.32,13,73.0,1.8811094538812823e-31
0.32,14,74.0,6.14514838373362e-32
0.32,15,75.0,6.24204934922837e-28
0.32,16,76.0,1.7024285621040004e-19
0.32,17,77.0,1.0787182749907845e-06
0.32,18,78.0,1.6588509577652734e-11
0.32,19,79.0,1.940113199195825e-18
0.32,20,80.0,8.708755603787452e-21
0.32,21,81.0,1.291733661107397e-18
0.32,22,82.0,5.462300636217025e-12
0.32,23,83.0,0.012324008300275979
0.32,24,84.0,4.790049116827302e-16
0.32,25,85.0,5.917568595519626e-25
0.32,26,86.0,2.992858528973368e-29
0.32,27,87.0,5.330284985347444e-29
0.32,28,88.0,2.8816650912661682e-24
0.32,29,89.0,4.0849135758333705e-15
0.32,30,90.0,0.021438352095884506
0.32,31,91.0,1.5598205204267724e-16
0.32,32,92.0,2.0935233933672998e-26
0.32,33,93.0,1.1871169746693435e-31
0.32,34,94.0,2.445175813914606e-32
0.32,35,95.0,1.5763199939566122e-28
0.32,36,96.0,2.74616562039497e-20
0.32,37,97.0,1.1186171274139313e-07
0.32,38,98.0,2.193744192733182e-09
0.32,39,99.0,4.713983592220911e-14
0.32,40,100.0,3.610635823761478e-14
0.32,41,101.0,8.495840728512092e-10
0.32,42,102.0,0.009257462303436383
0.32,43,103.0,2.7528931710307764e-15
0.32,44,104.0,2.5550211247482006e-23
0.32,45,105.0,9.43446038249609e-27
0.32,46,106.0,1.1926545350919241e-25
0.32,47,107.0,4.4511053711489565e-20
0.32,48,108.0,4.2380291723511324e-10
0.32,49,109.0,0.0008710186048719477
0.32,50,110.0,1.123578078371397e-12
0.32,51,111.0,5.3788478918418085e-17
0.32,52,112.0,9.074757134423315e-17
0.32,53,113.0,4.65096636020874e-12
0.32,54,114.0,0.004921666415669999
0.32,55,115.0,1.3418466804947074e-14
0.32,56,116.0,4.555880375538459e-23
0.32,57,117.0,6.24243039802748e-27
0.32,58,118.0,2.9697303147573996e-26
0.32,59,119.0,4.2291832101519356e-21
0.32,60,120.0,1.5576675565294467e-11
0.33333333333333337,1,61.0,5.639683574749965e-10
0.33333333333333337,2,62.0,0.001147949262858596
0.33333333333333337,3,63.0,2.4969156282577466e-15
0.33333333333333337,4,64.0,2.3168140269341446e-22
0.33333333333333337,5,65.0,8.277776629501173e-25
0.33333333333333337,6,66.0,9.804597166018532e-23
0.33333333333333337,7,67.0,3.3213691074233633e-16
0.33333333333333337,8,68.0,2.779277555789527e-05
0.33333333333333337,9,69.0,6.418836743912159e-13
0.33333333333333337,10,70.0,7.914378583858187e-21
0.33333333333333337,11,71.0,3.866740680771489e-24
0.33333333333333337,12,72.0,6.442039148899625e-23
0.33333333333333337,13,73.0,3.156141923848412e-17
0.33333333333333337,14,74.0,3.929602797501934e-07
0.33333333333333337,15,75.0,9.808363712818088e-09
0.33333333333333337,16,76.0,2.8913215974073473e-12
0.33333333333333337,17,77.0,2.927204366734775e-11
0.33333333333333337,18,78.0,8.771428114959183e-06
0.33333333333333337,19,79.0,2.671308105433689e-08
0.33333333333333337,20,80.0,1.1855796637558702e-10
0.33333333333333337,21,81.0,1.738821117808725e-08
0.33333333333333337,22,82.0,0.011201592586012818
0.33333333333333337,23,83.0,1.6386682396317926e-14
0.33333333333333337,24,84.0,3.6685880038035985e-22
0.33333333333333337,25,85.0,3.2270099586116457e-25
0.33333333333333337,26,86.0,9.599077063560498e-24
0.33333333333333337,27,87.0,8.328031951516186e-18
