alpha,peak_index,t_peak,i_peak,prominence
0.05333333333333334,18,95.20821917808219,0.001195795681676149,0.0011608120621741714
0.05333333333333334,19,97.20821917808219,0.0011941005868809553,0.0011590091362525788
0.05333333333333334,20,99.20821917808219,0.0011938957763029962,0.001158709762746665
0.05333333333333334,21,101.20821917808219,0.001194992741885011,0.001159944542877017
0.05333333333333334,22,103.20821917808219,0.0011951521403819746,0.001160122626808082
0.05333333333333334,23,105.20821917808219,0.0011944426701960046,0.0011593709534138046
0.05333333333333334,24,107.20821917808219,0.0011943246420623999,0.0011592090794311294
0.05333333333333334,25,109.20821917808219,0.0011947829800547196,0.0011597237280288144
0.05333333333333334,26,111.20821917808219,0.0011948701704728654,0.0011598211031653002
0.05333333333333334,27,113.20821917808219,0.001194574181097371,0.0011595087375470114
0.05333333333333334,28,115.20821917808219,0.0011945112676927092,0.0011594257202053359
0.05333333333333334,29,117.20821917808219,0.0011947021950709648,0.001159639561212168
0.05333333333333334,30,119.20821917808219,0.0011947473451448501,0.0011596836874503773
0.06666666666666667,1,60.26575342465753,0.0006474500349364701,0.00043275707679772863
0.06666666666666667,2,61.23835616438356,0.00036320433417433046,0.0002414434318722801
0.06666666666666667,3,62.23013698630137,0.0005883486528572991,0.00048074795370961026
0.06666666666666667,4,63.27123287671233,0.0003462174364670615,0.00020701302230635978
0.06666666666666667,5,64.1945205479452,0.000673439303333006,0.0005836052618881854
0.06666666666666667,6,65.32054794520548,0.00022450826976071097,6.630932962248254e-05
0.06666666666666667,7,66.14246575342466,0.0009556154126733709,0.0008981323320340943
0.06666666666666667,8,68.15890410958905,0.0015041466134397697,0.0014829626136661652
0.06666666666666667,9,70.31780821917808,0.0011829431224710653,0.001149625392469335
0.06666666666666667,10,71.2027397260274,0.0001717516710596235,4.972721170074116e-05
0.06666666666666667,11,72.23835616438356,0.0008104611581904527,0.0007314122771907525
0.06666666666666667,12,73.28219178082192,0.00022013944792410826,9.385115218158262e-05
0.06666666666666667,13,74.17260273972603,0.0008952317274452926,0.0008283113062132763
