t,model,s,i,r,R0,beta,gamma
0.09863013698630137,basic_sir,0.0004060495120108979,0.023424021201194523,0.9761699292867947,8.0,416.0,52.0
0.10136986301369863,basic_sir,0.0003960684636303755,0.02032300022268421,0.9792809313136854,8.0,416.0,52.0
0.10410958904109589,basic_sir,0.00038760780392494066,0.017632327301856945,0.9819800648942181,8.0,416.0,52.0
0.10684931506849316,basic_sir,0.0003804138928162011,0.015297751114244317,0.9843218349929393,8.0,416.0,52.0
0.1095890410958904,basic_sir,0.00037428076112349534,0.013272179672460709,0.9863535395664156,8.0,416.0,52.0
0.11232876712328767,basic_sir,0.000369039897800565,0.011514739176754631,0.9881162209254446,8.0,416.0,52.0
0.11506849315068493,basic_sir,0.00036455250711322037,0.009989955540508877,0.9896454919523777,8.0,416.0,52.0
0.1178082191780822,basic_sir,0.000360703575527246,0.008667042914400605,0.9909722535100719,8.0,416.0,52.0
0.12054794520547946,basic_sir,0.00035739727925205076,0.0075192854370833145,0.9921233172836643,8.0,416.0,52.0
0.12328767123287672,basic_sir,0.00035455339543032576,0.006523500146414576,0.9931219464581548,8.0,416.0,52.0
0.12602739726027398,basic_sir,0.00035210447224185196,0.005659570501759537,0.9939883250259982,8.0,416.0,52.0
0.12876712328767123,basic_sir,0.000349993578391659,0.004910041308163046,0.9947399651134449,8.0,416.0,52.0
0.1315068493150685,basic_sir,0.0003481724990047796,0.004259767012789271,0.9953920604882056,8.0,416.0,52.0
0.13424657534246576,basic_sir,0.000346600278514677,0.0036956063790558745,0.9959577933424292,8.0,416.0,52.0
0.136986301369863,basic_sir,0.0003452420355600497,0.00320615744996515,0.9964486005144745,8.0,416.0,52.0
0.13972602739726028,basic_sir,0.0003440679928412821,0.002781527503924866,0.9968744045032335,8.0,416.0,52.0
0.14246575342465753,basic_sir,0.0003430526781707678,0.0024131333973258324,0.9972438139245031,8.0,416.0,52.0
0.1452054794520548,basic_sir,0.0003421742628690054,0.0020935282904929473,0.9975642974466378,8.0,416.0,52.0
0.14794520547945206,basic_sir,0.00034141401112229314,0.0018162512782731934,0.9978423347106042,8.0,416.0,52.0
0.1506849315068493,basic_sir,0.00034075581957857345,0.0015756969031810206,0.9980835472772401,8.0,416.0,52.0
0.15342465753424658,basic_sir,0.0003401858307835448,0.001367001926282774,0.9982928122429334,8.0,416.0,52.0
0.15616438356164383,basic_sir,0.00033969210738891287,0.0011859470764382814,0.9984743608161725,8.0,416.0,52.0
0.1589041095890411,basic_sir,0.0003392643566464434,0.001028871798781091,0.998631863844572,8.0,416.0,52.0
0.16164383561643836,basic_sir,0.00033889369671757447,0.0008926002842380181,0.998768506019044,8.0,416.0,52.0
0.1643835616438356,basic_sir,0.0003385724579137091,0.000774377288562273,0.9988870502535236,8.0,416.0,52.0
0.16712328767123288,basic_sir,0.0003382940132374993,0.0006718124462366915,0.9989898935405254,8.0,416.0,52.0
0.16986301369863013,basic_sir,0.0003380526335958693,0.0005828319555798467,0.9990791154108238,8.0,416.0,52.0
0.1726027397260274,basic_sir,0.0003378433638580985,0.0005056366598453159,0.9991565199762962,8.0,416.0,52.0
0.17534246575342466,basic_sir,0.00033766191658019326,0.0004386656779930505,0.9992236724054264,8.0,416.0,52.0
0.1780821917808219,basic_sir,0.0003375045807429872,0.00038056485069929964,0.9992819305685574,8.0,416.0,52.0
0.18082191780821918,basic_sir,0.00033736814328127394,0.0003301593642919721,0.9993324724924265,8.0,416.0,52.0
0.18356164383561643,basic_sir,0.00033724982153435944,0.0002864299995941299,0.9993763201788712,8.0,416.0,52.0
0.1863013698630137,basic_sir,0.0003371472050399536,0.00024849252581834644,0.9994143602691414,8.0,416.0,52.0
0.18904109589041096,basic_sir,0.0003370582053352028,0.00021557982314647953,0.9994473619715181,8.0,416.0,52.0
0.1917808219178082,basic_sir,0.00033698101263026796,0.0001870263727280241,0.9994759926146414,8.0,416.0,52.0
0.19452054794520549,basic_sir,0.0003369140583885851,0.00016225480064328745,0.9995008311409678,8.0,416.0,52.0
0.19726027397260273,basic_sir,0.00033685598298971724,0.00014076420386699158,0.999522379813143,8.0,416.0,52.0
0.2,basic_sir,0.0003368056077702445,0.00012212002226889338,0.9995410743699605,8.0,416.0,52.0
0.20273972602739726,basic_sir,0.0003367619108392538,0.00010594525192582482,0.9995572928372346,8.0,416.0,52.0
0.2054794520547945,basic_sir,0.0003367240061507702,9.191282212377087e-05,0.9995713631717251,8.0,416.0,52.0
0.20821917808219179,basic_sir,0.000336691125388433,7.973898194579093e-05,0.9995835698926654,8.0,416.0,52.0
0.21095890410958903,basic_sir,0.0003366626022799245,6.917756274608846e-05,0.9995941598349736,8.0,416.0,52.0
0.2136986301369863,basic_sir,0.0003366378590118035,6.0015000514104066e-05,0.9996033471404737,8.0,416.0,52.0
0.21643835616438356,basic_sir,0.00033661639446088424,5.2066017492472354e-05,0.9996113175880463,8.0,416.0,52.0
0.2191780821917808,basic_sir,0.00033659777399730115,4.5169875739136584e-05,0.9996182323502631,8.0,416.0,52.0
0.2219178082191781,basic_sir,0.0003365816206478882,3.918712688598597e-05,0.9996242312524657,8.0,416.0,52.0
0.22465753424657534,basic_sir,0.0003365676074372889,3.39967923775693e-05,0.9996294356001848,8.0,416.0,52.0
0.2273972602739726,basic_sir,0.0003365554507489955,2.9493917176392784e-05,0.9996339506320743,8.0,416.0,52.0
0.23013698630136986,basic_sir,0.00033654490456986273,2.558744747185468e-05,0.9996378676479579,8.0,416.0,52.0
0.23287671232876714,basic_sir,0.00033653575550005537,2.2198389480561612e-05,0.9996412658550191,8.0,416.0,52.0
0.2356164383561644,basic_sir,0.0003365278184262753,1.9258212108997383e-05,0.9996442139694645,8.0,416.0,52.0
0.23835616438356164,basic_sir,0.00033652093276983596,1.6707461180117625e-05,0.9996467716060498,8.0,416.0,52.0
0.2410958904109589,basic_sir,0.00033651495923300856,1.4494557203087187e-05,0.9996489904835636,8.0,416.0,52.0
0.24383561643835616,basic_sir,0.00033650977697731536,1.2574752376513933e-05,0.9996509154706458,8.0,416.0,52.0
