t,model,s,i,r,R0,beta,gamma,beta0,mu
6.975342465753425,demographic_sir,0.09385680271538895,1.70546042455676e-46,0.9061431972846138,15.0,,52.0,780.2142857142857,0.014285714285714285
6.978082191780822,demographic_sir,0.09389226750853073,1.8075890366281404e-46,0.9061077324914719,15.0,,52.0,780.2142857142857,0.014285714285714285
6.980821917808219,demographic_sir,0.09392773091364515,1.91597868714914e-46,0.9060722690863575,15.0,,52.0,780.2142857142857,0.014285714285714285
6.983561643835617,demographic_sir,0.09396319293078652,2.0310217316193046e-46,0.9060368070692161,15.0,,52.0,780.2142857142857,0.014285714285714285
6.986301369863014,demographic_sir,0.09399865356000918,2.1531356258953904e-46,0.9060013464399934,15.0,,52.0,780.2142857142857,0.014285714285714285
6.9890410958904114,demographic_sir,0.09403411280136745,2.2827645635785954e-46,0.9059658871986351,15.0,,52.0,780.2142857142857,0.014285714285714285
6.991780821917808,demographic_sir,0.09406957065491563,2.420381222208837e-46,0.9059304293450869,15.0,,52.0,780.2142857142857,0.014285714285714285
6.994520547945205,demographic_sir,0.09410502712070806,2.5664886256251746e-46,0.9058949728792945,15.0,,52.0,780.2142857142857,0.014285714285714285
6.997260273972603,demographic_sir,0.09414048219879904,2.7216221303566524e-46,0.9058595178012036,15.0,,52.0,780.2142857142857,0.014285714285714285
7.0,demographic_sir,0.0941759358892429,2.8863515444508913e-46,0.9058240641107597,15.0,,52.0,780.2142857142857,0.014285714285714285
7.002739726027397,demographic_sir,0.09421138819209393,3.0612833877256027e-46,0.9057886118079087,15.0,,52.0,780.2142857142857,0.014285714285714285
7.005479452054795,demographic_sir,0.09424683910740644,3.2470633030490617e-46,0.9057531608925962,15.0,,52.0,780.2142857142857,0.014285714285714285
7.008219178082192,demographic_sir,0.09428228863523475,3.4443786289187128e-46,0.9057177113647679,15.0,,52.0,780.2142857142857,0.014285714285714285
7.010958904109589,demographic_sir,0.09431773677563314,3.653961144317083e-46,0.9056822632243694,15.0,,52.0,780.2142857142857,0.014285714285714285
7.013698630136986,demographic_sir,0.09435318352865592,3.876589997583966e-46,0.9056468164713467,15.0,,52.0,780.2142857142857,0.014285714285714285
7.016438356164383,demographic_sir,0.0943886288943574,4.113094831857642e-46,0.9056113711056452,15.0,,52.0,780.2142857142857,0.014285714285714285
7.019178082191781,demographic_sir,0.09442407287279188,4.3643591205068745e-46,0.9055759271272107,15.0,,52.0,780.2142857142857,0.014285714285714285
7.021917808219178,demographic_sir,0.09445951546401364,4.63132372690985e-46,0.9055404845359889,15.0,,52.0,780.2142857142857,0.014285714285714285
7.024657534246575,demographic_sir,0.09449495666807699,4.9149907039312954e-46,0.9055050433319256,15.0,,52.0,780.2142857142857,0.014285714285714285
7.027397260273973,demographic_sir,0.0945303964850362,5.216427349518526e-46,0.9054696035149664,15.0,,52.0,780.2142857142857,0.014285714285714285
7.03013698630137,demographic_sir,0.09456583491494557,5.536770535980192e-46,0.905434165085057,15.0,,52.0,780.2142857142857,0.014285714285714285
7.032876712328767,demographic_sir,0.09460127195785939,5.87723133173597e-46,0.9053987280421433,15.0,,52.0,780.2142857142857,0.014285714285714285
7.035616438356165,demographic_sir,0.09463670761383193,6.239099935636551e-46,0.9053632923861707,15.0,,52.0,780.2142857142857,0.014285714285714285
7.038356164383561,demographic_sir,0.09467214188291749,6.623750945357208e-46,0.9053278581170853,15.0,,52.0,780.2142857142857,0.014285714285714285
7.041095890410959,demographic_sir,0.09470757476517033,7.032648982872788e-46,0.9052924252348324,15.0,,52.0,780.2142857142857,0.014285714285714285
7.043835616438356,demographic_sir,0.09474300626064476,7.467354701629825e-46,0.905256993739358,15.0,,52.0,780.2142857142857,0.014285714285714285
7.046575342465753,demographic_sir,0.09477843636939504,7.929531201760843e-46,0.9052215636306077,15.0,,52.0,780.2142857142857,0.014285714285714285
7.049315068493151,demographic_sir,0.09481386509147544,8.420950881529315e-46,0.9051861349085274,15.0,,52.0,780.2142857142857,0.014285714285714285
7.052054794520548,demographic_sir,0.09484929242694022,8.943502755175796e-46,0.9051507075730626,15.0,,52.0,780.2142857142857,0.014285714285714285
7.054794520547945,demographic_sir,0.09488471837584367,9.499200269455402e-46,0.9051152816241592,15.0,,52.0,780.2142857142857,0.014285714285714285
7.057534246575343,demographic_sir,0.09492014293824004,1.0090189653428904e-45,0.9050798570617627,15.0,,52.0,780.2142857142857,0.014285714285714285
7.06027397260274,demographic_sir,0.09495556611418361,1.071875883850402e-45,0.9050444338858192,15.0,,52.0,780.2142857142857,0.014285714285714285
7.063013698630137,demographic_sir,0.09499098790372863,1.1387346988331649e-45,0.9050090120962743,15.0,,52.0,780.2142857142857,0.014285714285714285
7.065753424657534,demographic_sir,0.09502640830692938,1.2098554680958555e-45,0.9049735916930735,15.0,,52.0,780.2142857142857,0.014285714285714285
7.068493150684931,demographic_sir,0.0950618273238401,1.2855154788628884e-45,0.9049381726761627,15.0,,52.0,780.2142857142857,0.014285714285714285
7.071232876712329,demographic_sir,0.09509724495451506,1.3660104103844995e-45,0.9049027550454878,15.0,,52.0,780.2142857142857,0.014285714285714285
7.073972602739726,demographic_sir,0.09513266119900853,1.4516555763731438e-45,0.9048673388009943,15.0,,52.0,780.2142857142857,0.014285714285714285
7.076712328767123,demographic_sir,0.09516807605737472,1.5427872528438848e-45,0.9048319239426282,15.0,,52.0,780.2142857142857,0.014285714285714285
7.079452054794521,demographic_sir,0.09520348952966791,1.6397640973276646e-45,0.904796510470335,15.0,,52.0,780.2142857142857,0.014285714285714285
7.082191780821918,demographic_sir,0.09523890161594234,1.7429686658502346e-45,0.9047610983840606,15.0,,52.0,780.2142857142857,0.014285714285714285
7.0849315068493155,demographic_sir,0.09527431231625226,1.8528090345239216e-45,0.9047256876837507,15.0,,52.0,780.2142857142857,0.014285714285714285
7.087671232876712,demographic_sir,0.0953097216306519,1.9697205330865902e-45,0.9046902783693511,15.0,,52.0,780.2142857142857,0.014285714285714285
7.090410958904109,demographic_sir,0.09534512955919554,2.094167598244826e-45,0.9046548704408075,15.0,,52.0,780.2142857142857,0.014285714285714285
7.093150684931507,demographic_sir,0.09538053610193738,2.226645755237755e-45,0.9046194638980657,15.0,,52.0,780.2142857142857,0.014285714285714285
7.095890410958904,demographic_sir,0.09541594125893166,2.3676837366399678e-45,0.9045840587410714,15.0,,52.0,780.2142857142857,0.014285714285714285
7.098630136986301,demographic_sir,0.09545134503023264,2.5178457480649733e-45,0.9045486549697704,15.0,,52.0,780.2142857142857,0.014285714285714285
7.101369863013699,demographic_sir,0.09548674741589454,2.6777338911223695e-45,0.9045132525841085,15.0,,52.0,780.2142857142857,0.014285714285714285
7.104109589041096,demographic_sir,0.09552214841597159,2.84799075472283e-45,0.9044778515840315,15.0,,52.0,780.2142857142857,0.014285714285714285
7.1068493150684935,demographic_sir,0.09555754803051802,3.0293021866200507e-45,0.904442451969485,15.0,,52.0,780.2142857142857,0.014285714285714285
7.109589041095891,demographic_sir,0.09559294625958807,3.222400257931666e-45,0.904407053740415,15.0,,52.0,780.2142857142857,0.014285714285714285
7.112328767123287,demographic_sir,0.09562834310323594,3.4280664342960226e-45,0.9043716568967671,15.0,,52.0,780.2142857142857,0.014285714285714285
7.115068493150685,demographic_sir,0.09566373856151586,3.647134968303831e-45,0.9043362614384872,15.0,,52.0,780.2142857142857,0.014285714285714285
7.117808219178082,demographic_sir,0.09569913263448207,3.8804965288955534e-45,0.904300867365521,15.0,,52.0,780.2142857142857,0.014285714285714285
