t,beta_t,i_t,alpha,R0,beta0
44.68493150684932,687.1637108483933,1.5143682963228554e-12,0.3,15.0,780.2142857142857
44.68767123287671,690.8744710077199,1.581937746346258e-12,0.3,15.0,780.2142857142857
44.69041095890411,694.6117044822674,1.6542963802654756e-12,0.3,15.0,780.2142857142857
44.69315068493151,698.374303849089,1.7318355729476967e-12,0.3,15.0,780.2142857142857
44.6958904109589,702.1611541687763,1.814983270751739e-12,0.3,15.0,780.2142857142857
44.6986301369863,705.9711333158776,1.9042077563265265e-12,0.3,15.0,780.2142857142857
44.701369863013696,709.803112311333,2.0000218325895017e-12,0.3,15.0,780.2142857142857
44.704109589041096,713.6559556570653,2.102987475761632e-12,0.3,15.0,780.2142857142857
44.706849315068496,717.5285216724401,2.213721013595093e-12,0.3,15.0,780.2142857142857
44.70958904109589,721.4196628325572,2.3328988920421284e-12,0.3,15.0,780.2142857142857
44.71232876712329,725.3282261083389,2.4612641016466746e-12,0.3,15.0,780.2142857142857
44.71506849315069,729.2530533081199,2.5996333440512004e-12,0.3,15.0,780.2142857142857
44.71780821917808,733.1929814208835,2.748905029352153e-12,0.3,15.0,780.2142857142857
44.72054794520548,737.1468429609251,2.9100682067514806e-12,0.3,15.0,780.2142857142857
44.723287671232875,741.1134663137128,3.0842125442555183e-12,0.3,15.0,780.2142857142857
44.726027397260275,745.0916760831669,3.2725394883001246e-12,0.3,15.0,780.2142857142857
44.728767123287675,749.0802934398629,3.476374751332524e-12,0.3,15.0,780.2142857142857
44.73150684931507,753.0781364703829,3.6971822949317435e-12,0.3,15.0,780.2142857142857
44.73424657534247,757.0840205275833,3.936579998251449e-12,0.3,15.0,780.2142857142857
44.73698630136986,761.0967585815505,4.196357226854249e-12,0.3,15.0,780.2142857142857
44.73972602739726,765.1151615713973,4.478494545829022e-12,0.3,15.0,780.2142857142857
44.74246575342466,769.1380387575932,4.7851858538675485e-12,0.3,15.0,780.2142857142857
44.74520547945205,773.1641980747942,5.118863252427929e-12,0.3,15.0,780.2142857142857
44.74794520547945,777.1924464851294,5.482225006772357e-12,0.3,15.0,780.2142857142857
44.75068493150685,781.2215903316314,5.878267004373968e-12,0.3,15.0,780.2142857142857
44.75342465753425,785.2504356920495,6.310318171844204e-12,0.3,15.0,780.2142857142857
44.75616438356165,789.27778873254,6.7820803750293515e-12,0.3,15.0,780.2142857142857
44.75890410958904,793.3024560614663,7.297673399615874e-12,0.3,15.0,780.2142857142857
44.76164383561644,797.3232450830664,7.861685692622714e-12,0.3,15.0,780.2142857142857
44.76438356164384,801.3389643507638,8.479231640199611e-12,0.3,15.0,780.2142857142857
44.76712328767123,805.3484239202734,9.156016265992091e-12,0.3,15.0,780.2142857142857
44.76986301369863,809.3504357021933,9.898408358912144e-12,0.3,15.0,780.2142857142857
44.772602739726025,813.3438138140491,1.0713523181922713e-11,0.3,15.0,780.2142857142857
44.775342465753425,817.3273749317483,1.1609316077190866e-11,0.3,15.0,780.2142857142857
44.778082191780825,821.2999386401461,1.2594688470579043e-11,0.3,15.0,780.2142857142857
44.78082191780822,825.2603277828682,1.3679607993939655e-11,0.3,15.0,780.2142857142857
44.78356164383562,829.2073688111651,1.4875244690859324e-11,0.3,15.0,780.2142857142857
44.78630136986301,833.1398921315699,1.619412555541753e-11,0.3,15.0,780.2142857142857
44.78904109589041,837.0567324525783,1.7650309979847463e-11,0.3,15.0,780.2142857142857
44.79178082191781,840.9567291298578,1.925958906175926e-11,0.3,15.0,780.2142857142857
44.794520547945204,844.8387265102109,2.1039712152881457e-11,0.3,15.0,780.2142857142857
44.797260273972604,848.7015742740593,2.3010644527095077e-11,0.3,15.0,780.2142857142857
44.8,852.5441277762308,2.5194860616184846e-11,0.3,15.0,780.2142857142857
44.8027397260274,856.3652483851932,2.7617677918877907e-11,0.3,15.0,780.2142857142857
44.8054794520548,860.1638038204441,3.030763744503432e-11,0.3,15.0,780.2142857142857
44.80821917808219,863.9386684880157,3.329693742873524e-11,0.3,15.0,780.2142857142857
44.81095890410959,867.6887238140637,3.6621928048305364e-11,0.3,15.0,780.2142857142857
44.81369863013699,871.4128585762495,4.0323676049230874e-11,0.3,15.0,780.2142857142857
44.81643835616438,875.1099692330579,4.444860950154274e-11,0.3,15.0,780.2142857142857
44.81917808219178,878.7789602508352,4.904925446351427e-11,0.3,15.0,780.2142857142857
