t,model,s,i,r,R0,beta0,gamma,mu,alpha
51.468493150684935,seasonal_vital_sir,0.08501828830027232,1.5560182426265505e-19,0.9149817116997278,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.487671232876714,seasonal_vital_sir,0.08526893388470654,1.5941871186797309e-19,0.9147310661152934,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.50684931506849,seasonal_vital_sir,0.08551951080852362,1.6343186856204426e-19,0.9144804891914764,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.52602739726027,seasonal_vital_sir,0.08577001909053211,1.6827270542728749e-19,0.9142299809094678,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.54520547945206,seasonal_vital_sir,0.08602045874953551,1.7465559260219052e-19,0.9139795412504644,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.56438356164384,seasonal_vital_sir,0.08627082980433189,1.8341627315733963e-19,0.913729170195668,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.583561643835615,seasonal_vital_sir,0.08652113227371441,1.9558399078757026e-19,0.9134788677262855,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.602739726027394,seasonal_vital_sir,0.08677136617647105,2.1249967528041702e-19,0.9132286338235287,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.62191780821918,seasonal_vital_sir,0.08702153153138469,2.3600219363571917e-19,0.9129784684686151,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.64109589041096,seasonal_vital_sir,0.0872716283572328,2.68721682225131e-19,0.9127283716427669,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.66027397260274,seasonal_vital_sir,0.08752165667278801,3.145485318369119e-19,0.9124783433272116,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.679452054794524,seasonal_vital_sir,0.08777161649681776,3.793986322501487e-19,0.9122283835031818,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.6986301369863,seasonal_vital_sir,0.08802150784808413,4.72488840413602e-19,0.9119784921519156,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.71780821917808,seasonal_vital_sir,0.08827133074534425,6.0850723383910815e-19,0.9117286692546556,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.73698630136986,seasonal_vital_sir,0.08852108520735012,8.113796351885382e-19,0.9114789147926499,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.75616438356165,seasonal_vital_sir,0.08877077125284863,1.1209314090624914e-18,0.9112292287471514,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.775342465753425,seasonal_vital_sir,0.08902038890058128,1.6048850843389471e-18,0.9109796110994187,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.794520547945204,seasonal_vital_sir,0.08926993816928472,2.3808410247496863e-18,0.9107300618307153,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.81369863013699,seasonal_vital_sir,0.08951941907769041,3.657196916823926e-18,0.9104805809223093,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.83287671232877,seasonal_vital_sir,0.08976883164452451,5.810441974453639e-18,0.9102311683554752,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.85205479452055,seasonal_vital_sir,0.09001817588850823,9.533046637813296e-18,0.9099818241114915,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.87123287671233,seasonal_vital_sir,0.09026745182835759,1.6119485294333116e-17,0.9097325481716421,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.89041095890411,seasonal_vital_sir,0.09051665948278359,2.802403249908473e-17,0.9094833405172161,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.90958904109589,seasonal_vital_sir,0.09076579887049178,4.99545773214604e-17,0.9092342011295078,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.92876712328767,seasonal_vital_sir,0.09101487001018292,9.102255152996026e-17,0.9089851299898166,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.94794520547945,seasonal_vital_sir,0.09126387292055245,1.6896353971931813e-16,0.9087361270794471,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.967123287671235,seasonal_vital_sir,0.09151280762029082,3.183805040166509e-16,0.9084871923797087,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
51.986301369863014,seasonal_vital_sir,0.0917616741280829,6.066927221888783e-16,0.9082383258719162,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.00547945205479,seasonal_vital_sir,0.09201047246260868,1.164563077115336e-15,0.9079895275373898,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.02465753424658,seasonal_vital_sir,0.09225920264254261,2.2428505925643845e-15,0.9077407973574547,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.04383561643836,seasonal_vital_sir,0.0925078646865533,4.3166329313509475e-15,0.907492135313442,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.06301369863014,seasonal_vital_sir,0.09275645861330335,8.269516922071682e-15,0.907243541386688,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.082191780821915,seasonal_vital_sir,0.0930049844414483,1.570839421453179e-14,0.9069950155585356,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.1013698630137,seasonal_vital_sir,0.09325344218963517,2.947777438020812e-14,0.906746557810335,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.12054794520548,seasonal_vital_sir,0.09350183187649991,5.445721921806383e-14,0.9064981681234453,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
